Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.298,55.798,56.454,57.344,57.944,58.361,58.684,59.111,59.852,60.364,60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,61.982,..
Afghanistan,AFG,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,597.832320551,..,..,..,..,..,..,..
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,359.766116381112,363.101253074406,354.033690188581,379.955590339344,384.078063662358,429.412267248095,437.419751677908,512.408956951877,569.282353956434,551.00062369988,596.442439966449,608.386331910323,602.516600325407,592.476164793256,590.427367421378,588.930080331481,578.985544847804,584.386515325947,553.036131033118,426.229401276432,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463,..
Albania,ALB,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,2018.81437721774,2211.91968156362,2303.52289283721,2443.65669037858,2581.8184943572,2728.72136192011,2933.92744577984,3128.63515027053,3316.02211731696,3379.48167034401,3542.56654135029,3680.23011452648,3710.05962882443,3845.43714054756,3891.5923833294,3999.65266260023,4155.53626139228,4261.24010930034,4427.85194019333,4487.51206401639,4350.09574950551,4793.00725249251,..
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1960.88246493025,2143.52684515058,2247.49808605638,2380.64462708705,2522.44938113726,2675.50864417697,2851.3677667452,3044.89662487827,3298.4789171641,3432.17088105477,3577.11433445482,3678.04771118469,3736.34008946398,3780.69920254585,3855.76075430011,3952.80358410846,4090.37273911621,4249.82006064482,4431.55560679714,4543.38772250631,4418.66088547605,4857.11195487159,5158.50912786813
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.478,70.823,71.23,71.287,71.762,72.061,72.334,72.602,72.941,73.62,73.808,74.123,74.202,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453,76.377,..
Algeria,DZA,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,3014.0316636128,3108.55186000532,3215.99530779871,3403.04646015794,3482.22397294243,3600.68333571966,3633.72372909078,3783.56160386283,3827.92347532393,3815.14294786018,3903.19525459056,3912.26097315843,3955.96609197586,3961.24599239807,4022.33806638353,4088.37390908125,4192.96332525198,4144.74019217665,4075.19777945132,4045.06983624971,3789.03120240194,3856.09587996064,..
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3138.23000861214,3188.20621527958,3321.63774983461,3512.89903676959,3612.75296841796,3774.07124205966,3783.31295138089,3848.77823838112,3874.36805578059,3866.29574556392,3931.7200461362,3969.6602628982,4025.64147034527,4057.76479352226,4129.42253508345,4197.41997101868,4246.24215972733,4218.08230492189,4188.2203709479,4153.00344111131,3873.50873277078,3939.36085126425,3995.88188543925
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,12804.4358444426,12980.7222956862,13105.1690778892,13136.4800805944,12690.5291104991,13029.6162843735,12795.0245577508,12378.1701945665,12532.3111237111,12656.6881389142,12247.6352882148,12098.2751505435,12494.9802110307,13101.5418159165,13116.4309769201,12442.8576653719,13049.3301536176,13288.3565565116,14303.6270325756,14396.3685581274,..
