Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Expected years of schooling,SE.SCH.LIFE,Afghanistan,AFG,..,..,..,6.73240995407104,7.60043001174927,..,..,..,..,8.88842964172363,..,9.47319030761719,..,..,10.4646797180176,..,..,..,10.537859916687,..,..,..,..
Expected years of schooling,SE.SCH.LIFE,Albania,ALB,10.7004899978638,10.9176397323608,11.0205602645874,11.3757495880127,11.500940322876,12.2344799041748,12.5542602539062,12.9734601974487,13.1751003265381,13.3601999282837,14.1717700958252,15.0017795562744,15.7657098770142,15.9963102340698,16.2433204650879,15.9122400283813,15.4494199752808,15.3259401321411,15.1078300476074,15.1776103973389,14.7597198486328,14.5717496871948,14.4874696731567
Expected years of schooling,SE.SCH.LIFE,Algeria,DZA,..,11.4606599807739,11.8680696487427,12.1388301849365,12.4739799499512,12.7207899093628,12.8114204406738,12.9895000457764,..,13.8797702789307,14.2380800247192,14.4666795730591,..,..,..,..,..,..,..,..,..,..,15.4878797531128
Expected years of schooling,SE.SCH.LIFE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Expected years of schooling,SE.SCH.LIFE,Andorra,AND,..,..,10.7541999816895,10.597149848938,10.4609899520874,10.4863195419312,10.6584796905518,..,11.8860101699829,..,..,..,12.7380800247192,11.5037202835083,11.608039855957,11.8018503189087,11.9706401824951,11.9225902557373,11.9275102615356,11.9263095855713,11.9119300842285,11.9877099990845,12.7837800979614
Expected years of schooling,SE.SCH.LIFE,Angola,AGO,..,..,..,..,..,..,..,..,..,..,9.09162044525146,10.0728197097778,..,..,..,..,..,..,..,..,..,..,..
Expected years of schooling,SE.SCH.LIFE,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,15.639760017395,..,15.4905195236206,15.583869934082,15.3087997436523,15.5871601104736,..,..,..,..,..,..,..,..,..,..
Expected years of schooling,SE.SCH.LIFE,Argentina,ARG,15.6875696182251,16.3057804107666,16.3925094604492,16.2663898468018,16.2989807128906,16.0184593200684,16.1737308502197,16.1890602111816,16.3818092346191,16.7100296020508,17.0287799835205,17.2637195587158,17.2353591918945,17.233959197998,17.4223194122314,17.584659576416,17.8577308654785,17.8429698944092,17.8578205108643,18.0863704681396,18.3611602783203,18.9795093536377,..
Expected years of schooling,SE.SCH.LIFE,Armenia,ARM,10.7248201370239,10.5056104660034,..,..,10.6284599304199,10.8807697296143,11.3353395462036,11.9283895492554,11.6970195770264,12.2315797805786,12.4260196685791,12.5557403564453,..,12.8013601303101,13.0781097412109,13.1324901580811,..,..,13.8214702606201,13.9989204406738,14.0779695510864,14.4303798675537,14.4056100845337
Expected years of schooling,SE.SCH.LIFE,Aruba,ABW,12.9763803482056,13.0010995864868,13.4180002212524,13.5089702606201,13.7069501876831,14.0504598617554,14.4038696289062,14.7283096313477,14.0057697296143,13.933030128479,13.6333799362183,13.3382997512817,14.044659614563,..,..,..,..,..,..,..,..,..,..
